Image,Total_Detections,D00_Longitudinal,D10_Transverse,D20_Alligator,D40_Pothole,Avg_Confidence
China_Drone_000008.jpg,0,0,0,0,0,0.0
China_Drone_000017.jpg,0,0,0,0,0,0.0
China_Drone_000040.jpg,0,0,0,0,0,0.0
China_Drone_000052.jpg,6,0,0,1,5,0.5554
China_Drone_000053.jpg,0,0,0,0,0,0.0
China_Drone_000075.jpg,0,0,0,0,0,0.0
China_Drone_000085.jpg,0,0,0,0,0,0.0
China_Drone_000092.jpg,0,0,0,0,0,0.0
China_Drone_000096.jpg,2,0,0,0,2,0.6924
China_Drone_000098.jpg,0,0,0,0,0,0.0
China_Drone_000099.jpg,1,0,0,1,0,0.4067
China_Drone_000101.jpg,2,0,1,0,1,0.6583
China_Drone_000109.jpg,0,0,0,0,0,0.0
China_Drone_000116.jpg,1,0,0,0,1,0.3416
China_Drone_000119.jpg,2,1,0,1,0,0.2561
China_Drone_000121.jpg,0,0,0,0,0,0.0
China_Drone_000127.jpg,1,0,0,1,0,0.4129
China_Drone_000128.jpg,1,1,0,0,0,0.3001
China_Drone_000150.jpg,0,0,0,0,0,0.0
China_Drone_000176.jpg,0,0,0,0,0,0.0
China_Drone_000177.jpg,4,2,0,1,1,0.4875
China_Drone_000182.jpg,0,0,0,0,0,0.0
China_Drone_000186.jpg,3,3,0,0,0,0.3163
China_Drone_000214.jpg,0,0,0,0,0,0.0
China_Drone_000216.jpg,0,0,0,0,0,0.0
China_Drone_000217.jpg,0,0,0,0,0,0.0
China_Drone_000222.jpg,0,0,0,0,0,0.0
China_Drone_000241.jpg,0,0,0,0,0,0.0
China_Drone_000243.jpg,0,0,0,0,0,0.0
China_Drone_000262.jpg,0,0,0,0,0,0.0
China_Drone_000263.jpg,0,0,0,0,0,0.0
China_Drone_000264.jpg,0,0,0,0,0,0.0
China_Drone_000266.jpg,0,0,0,0,0,0.0
China_Drone_000268.jpg,2,0,0,1,1,0.3767
China_Drone_000272.jpg,0,0,0,0,0,0.0
China_Drone_000273.jpg,0,0,0,0,0,0.0
China_Drone_000277.jpg,5,0,0,0,5,0.4989
China_Drone_000278.jpg,0,0,0,0,0,0.0
China_Drone_000286.jpg,1,1,0,0,0,0.2877
China_Drone_000288.jpg,0,0,0,0,0,0.0
China_Drone_000290.jpg,0,0,0,0,0,0.0
China_Drone_000297.jpg,0,0,0,0,0,0.0
China_Drone_000311.jpg,0,0,0,0,0,0.0
China_Drone_000314.jpg,0,0,0,0,0,0.0
China_Drone_000323.jpg,3,0,0,2,1,0.5082
China_Drone_000330.jpg,1,0,0,1,0,0.2673
China_Drone_000334.jpg,2,0,1,0,1,0.703
China_Drone_000341.jpg,4,0,0,0,4,0.6774
China_Drone_000343.jpg,1,0,0,0,1,0.5118
China_Drone_000344.jpg,0,0,0,0,0,0.0
China_Drone_000346.jpg,0,0,0,0,0,0.0
China_Drone_000348.jpg,0,0,0,0,0,0.0
China_Drone_000351.jpg,0,0,0,0,0,0.0
China_Drone_000359.jpg,0,0,0,0,0,0.0
China_Drone_000361.jpg,0,0,0,0,0,0.0
China_Drone_000380.jpg,3,0,0,3,0,0.6225
China_Drone_000383.jpg,0,0,0,0,0,0.0
China_Drone_000401.jpg,2,0,0,2,0,0.4675
China_Drone_000408.jpg,0,0,0,0,0,0.0
China_Drone_000416.jpg,3,0,0,0,3,0.3361
China_Drone_000423.jpg,0,0,0,0,0,0.0
China_Drone_000431.jpg,1,0,0,0,1,0.4737
China_Drone_000438.jpg,0,0,0,0,0,0.0
China_Drone_000451.jpg,1,0,0,1,0,0.8724
China_Drone_000457.jpg,2,0,0,2,0,0.5081
China_Drone_000459.jpg,0,0,0,0,0,0.0
China_Drone_000460.jpg,1,0,0,1,0,0.4022
China_Drone_000465.jpg,0,0,0,0,0,0.0
China_Drone_000470.jpg,2,0,0,1,1,0.6791
China_Drone_000474.jpg,0,0,0,0,0,0.0
